top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
   2052 gdm       20   0  164360      4      4 S   0,0   0,0   0:00.00 gdm-x-s+
   2055 root      20   0  253440   1772   1428 S   0,0   0,0   0:13.28 Xorg
   2084 gdm       20   0    5296      0      0 S   0,0   0,0   0:00.00 dbus-ru+
   2085 gdm       20   0    7548      4      4 S   0,0   0,0   0:00.02 dbus-da+
   2086 gdm       20   0  410460    948    312 S   0,0   0,0   0:01.05 gnome-s+
   2092 gdm       20   0  305528      8      8 S   0,0   0,0   0:00.00 at-spi-+
   2097 gdm       20   0    7248      0      0 S   0,0   0,0   0:00.00 dbus-da+
   2185 gdm       20   0 6603324  49012  15756 S   0,0   0,0  28:52.13 gnome-s+
   2235 gdm       20   0  311300      4      4 S   0,0   0,0   0:00.13 ibus-da+
   2238 gdm       20   0  236868      0      0 S   0,0   0,0   0:00.00 ibus-dc+
   2241 gdm       20   0  188304      0      0 S   0,0   0,0   0:00.00 ibus-x11
   2243 gdm       20   0  236848      0      0 S   0,0   0,0   0:00.00 ibus-po+
   2254 gdm       20   0  162916      0      0 S   0,0   0,0   0:00.00 at-spi2+
   2258 gdm       20   0  235940      0      0 S   0,0   0,0   0:00.00 xdg-per+
   2264 gdm        9 -11  882884    240      0 S   0,0   0,0   0:00.55 pulseau+
   2277 gdm       20   0 2930532      0      0 S   0,0   0,0   0:00.02 gjs
   2287 gdm       20   0  465120   2092    856 S   0,0   0,0   4:33.27 gsd-sha+
   2289 gdm       20   0  335396      0      0 S   0,0   0,0   0:00.01 gsd-wac+
   2290 gdm       20   0  485232   2796   2596 S   0,0   0,0   0:28.33 gsd-col+
   2291 gdm       20   0  335760    536      4 S   0,0   0,0   0:00.15 gsd-key+
   2292 gdm       20   0  248564    868    576 S   0,0   0,0   0:00.54 gsd-pri+
   2293 gdm       20   0  457444   2716   2188 S   0,0   0,0   0:00.88 gsd-rfk+
   2294 gdm       20   0  315508      4      4 S   0,0   0,0   0:00.00 gsd-sma+
   2296 gdm       20   0  373956      0      0 S   0,0   0,0   0:00.00 gsd-dat+
   2299 gdm       20   0  826172    716     84 S   0,0   0,0   0:00.58 gsd-med+
   2302 gdm       20   0  235852      4      4 S   0,0   0,0   0:00.00 gsd-scr+
   2305 gdm       20   0  319692      0      0 S   0,0   0,0   0:00.00 gsd-sou+
   2307 gdm       20   0  310004      0      0 S   0,0   0,0   0:00.00 gsd-a11+
   2309 gdm       20   0  312060   4004   3556 S   0,0   0,0   3:23.94 gsd-hou+
   2313 gdm       20   0  163040      0      0 S   0,0   0,0   0:00.05 ibus-en+
   2314 gdm       20   0  336804   1380    756 S   0,0   0,0   0:07.92 gsd-pow+
   2360 colord    20   0  861488   1116      0 S   0,0   0,0   0:00.09 colord
