Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Object Detection,ctdet_coco_dlav0_512,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Text Detection,ctpn,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,ctpn,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Detection,ctpn,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,darknet19,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,darknet19,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,darknet19,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,darknet53,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Audio,data2vec2-base,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Audio,data2vec2-base,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,davit_small.msft_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Generation,dcgan,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,deberta-base,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,deberta-large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,deberta-v2-xlarge,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,deberta-v3-large,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3_mobilenet_v3_large,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3_resnet101,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplabv3_resnet50,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Semantic Segmentation,deeplab-v3p-resnet50-os8,paddle,INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT4-MIXED,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,FP4-NORMALIZED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,INT8-CW,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT4-MIXED,OpenVINO,,passed,passed,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,FP4-NORMALIZED,OpenVINO,,passed,passed,OpenVINO 2026.2
DNA Classification,deepvariant_wgs,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
DNA Classification,deepvariant_wgs,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
DNA Classification,deepvariant_wgs,tf,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,deit_small_patch16_224,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,deit3_small_patch16_224_in21ft1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,deit-b,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,deit-b,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,deit-b,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Audio Enhancement,demucs,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Audio Enhancement,Denoise,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Audio Enhancement,Denoise,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Audio Enhancement,Denoise,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet121,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,tf2,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,tf2,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-121,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet161,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet-161,onnx,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,densenet-161,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,densenet-161,onnx,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,densenet-161,onnx,FP16-INT8,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,densenet-161,pytorch,FP32-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,densenet169,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenet201,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,densenetblur121d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Object Detection,detr_resnet50,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,detr_resnet50,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,detr_resnet50,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,detr-resnet-50,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Click-Through Rate (CTR) Prediction,dien,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Click-Through Rate (CTR) Prediction,dien,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Behavior / Decision Prediction,dien_alibaba,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Behavior / Decision Prediction,dien_alibaba,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,DistilBert,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-cased,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-cased,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-cased,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-nli-mean-tokens,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,distilbert-base-uncased-distilled-squad,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,distilbert-base-uncased-distilled-squad,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased-finetuned-sst-2-english,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased-finetuned-sst-2-english,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,distilbert-NER,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Speech Recognition,distil-large-v2,pytorch,FP16,OpenVINO,,passed,,OpenVINO 2026.2
Speech Recognition,distil-large-v2,pytorch,INT4-MIXED,OpenVINO,,passed,,OpenVINO 2026.2
Speech Recognition,distil-large-v2,pytorch,INT8-CW,OpenVINO,,passed,,OpenVINO 2026.2
Speech Recognition,distil-large-v2-genai,pytorch,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Speech Recognition,distil-large-v2-genai,pytorch,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Speech Recognition,distil-large-v3,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Speech Recognition,distil-medium.en,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,dla34,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,dla-34,onnx,FP32,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,dla-34,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,dla-34,onnx,FP16,OpenVINO,,,passed,OpenVINO 2026.2
Image Classification,dla-34,onnx,FP16-INT8,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,dla-34,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,dla60_res2net,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,dla60_res2next,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,dla60x,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Large Language Model,DLRM,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,DLRM,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,dm_nfnet_f6,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,dm_nfnet_f6.dm_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
DNA Classification,dna_r9.4.1,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
DNA Classification,dna_r9.4.1,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
DNA Classification,dna_r9.4.1,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
DNA Classification,dna_r9.4.1_2d,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
DNA Classification,dna_r9.4.1_2d,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
DNA Classification,dna_r9.4.1_2d,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,dolly-v2-12b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,dolly-v2-12b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,dolly-v2-12b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,dolly-v2-3b,pytorch,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,dolly-v2-3b,pytorch,INT8-CW,OpenVINO,passed,,passed,OpenVINO 2026.2
Large Language Model,dolly-v2-3b,pytorch,INT4-MIXED,OpenVINO,passed,,passed,OpenVINO 2026.2
Image Classification,dpn68,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
"Image Classification, Dual Path Network",dpn-68,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Classification, Dual Path Network",dpn-68,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
"Image Classification, Dual Path Network",dpn-68,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Classification, Dual Path Network",dpn-68,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Classification, Dual Path Network",dpn-68,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,driver-action-recognition-adas-0002,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,driver-action-recognition-adas-0002,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Semantic Segmentation,drn-d-38,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,drn-d-38,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,drn-d-38,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,east_resnet_v1_50,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,east_resnet_v1_50,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,east_resnet_v1_50,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",ebgan,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",ebgan,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",ebgan,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",ebgan,tf,FP16,OpenVINO,passed,,,OpenVINO 2026.2
"Image Processing, Enhancement ",ebgan,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,eca_botnext26ts_256,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,eca_halonext26ts,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,eca_nfnet_l1,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,ecaresnet50d,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,edgenext_small_rw,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3_super_resolution,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3-nas,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
"Image Processing, Enhancement ",edsr3-nas,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,efficientdet-d0,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,efficientdet-d0,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,efficientdet-d0,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,efficientdet-d1,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,efficientdet-d1,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientformer_l3.snap_dist_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientformerv2_s1.snap_dist_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b0,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b1,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b2,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b3,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b4,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b5,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b6,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_b7,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_v2_l,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_v2_m,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet_v2_s,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,tf,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,tf,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-b0,tf,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,efficientnet-b0_auto_aug,tf,FP32,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,efficientnet-b0_auto_aug,tf,FP16,OpenVINO,passed,,passed,OpenVINO 2026.2
Object Detection,efficientnet-b0_auto_aug,tf,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Image Classification,efficientnet-b3,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,efficientnet-b3,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnetv2_rw_s.ra2_in1k,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-v2-m,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-v2-m,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,efficientnet-v2-m,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-v2-m,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,efficientnet-v2-m,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,electra-base-french-europeana-cased-generator,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,electra-base-generator,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
